justica,ano,tribunal_uf,baixados,novos,pendentes,ufn,idhm,t_analf18m,rdpc,pop
Estadual,2015,AC,3431,26700,468688,Acre,0.663,17.79,522.15,728620
Estadual,2015,AL,52181,73649,2795992,Alagoas,0.631,26.09,432.56,3092407
Estadual,2015,AM,55107,65982,1711546,Amazonas,0.674,10.47,539.8,3460784
Estadual,2015,AP,61309,36990,472497,Amapá,0.708,9.09,598.98,664167
Estadual,2015,BA,312555,307258,18926317,Bahia,0.66,17.73,496.73,13933018
Estadual,2015,CE,417526,548320,14597105,Ceará,0.682,20.14,460.63,8403301
Estadual,2015,DF,169114,166311,2248838,Distrito Federal,0.824,3.66,1715.11,2543802
Estadual,2015,ES,93098,70988,2802241,Espírito Santo,0.74,8.62,815.43,3492253
Estadual,2015,GO,249206,218536,8557558,Goiás,0.735,8.46,810.97,5962442
Estadual,2015,MA,128606,159950,5002220,Maranhão,0.639,22.51,360.34,6547083
Estadual,2015,MG,793082,847825,23601936,Minas Gerais,0.731,8.83,749.69,19471105
Estadual,2015,MS,120591,137284,3906382,Mato Grosso do Sul,0.729,8.21,799.34,2420666
Estadual,2015,MT,166973,143365,5478432,Mato Grosso,0.725,9.07,762.52,3008271
Estadual,2015,PA,123036,172167,618388,Pará,0.646,12.58,446.76,7524487
Estadual,2015,PB,115470,109897,3418975,Paraíba,0.658,23.39,474.94,3744722
Estadual,2015,PE,229070,208578,8908786,Pernambuco,0.673,19.12,525.64,8744596
Estadual,2015,PI,83721,75492,3608222,Piauí,0.646,24.55,416.93,3102747
Estadual,2015,PR,462686,979514,19121991,Paraná,0.749,6.69,890.89,10379795
Estadual,2015,RJ,863361,560502,29387696,Rio de Janeiro,0.761,4.47,1039.3,15895915
Estadual,2015,RN,65404,104095,3522644,Rio Grande do Norte,0.684,19.74,545.42,3151549
Estadual,2015,RR,34464,26778,503604,Roraima,0.707,11.01,605.59,445981
Estadual,2015,RS,618794,544974,14516940,Rio Grande do Sul,0.746,4.75,959.24,10618321
Estadual,2015,SC,294742,303217,13124747,Santa Catarina,0.774,4.37,983.9,6211299
Estadual,2015,SE,121635,102596,2073716,Sergipe,0.665,19.72,523.53,2054725
Estadual,2015,SP,2243615,1832037,57475175,São Paulo,0.783,4.53,1084.46,40944103
Estadual,2015,TO,78048,51346,1684524,Tocantins,0.699,14.14,586.62,1373823
Estadual,2016,AC,8069,21369,388045,Acre,0.663,17.79,522.15,728620
Estadual,2016,AL,39134,75388,3255969,Alagoas,0.631,26.09,432.56,3092407
Estadual,2016,AM,72490,91012,3519777,Amazonas,0.674,10.47,539.8,3460784
Estadual,2016,AP,61686,37077,537766,Amapá,0.708,9.09,598.98,664167
Estadual,2016,BA,217081,336411,17551769,Bahia,0.66,17.73,496.73,13933018
Estadual,2016,CE,418018,448699,14908648,Ceará,0.682,20.14,460.63,8403301
Estadual,2016,DF,172723,163251,2073035,Distrito Federal,0.824,3.66,1715.11,2543802
Estadual,2016,ES,115826,67174,2788993,Espírito Santo,0.74,8.62,815.43,3492253
Estadual,2016,GO,277292,201698,8386680,Goiás,0.735,8.46,810.97,5962442
Estadual,2016,MA,164075,163190,5384057,Maranhão,0.639,22.51,360.34,6547083
Estadual,2016,MG,988181,609515,19926494,Minas Gerais,0.731,8.83,749.69,19471105
Estadual,2016,MS,149483,140704,4191620,Mato Grosso do Sul,0.729,8.21,799.34,2420666
Estadual,2016,MT,172900,146386,5183695,Mato Grosso,0.725,9.07,762.52,3008271
Estadual,2016,PA,154561,135964,6380382,Pará,0.646,12.58,446.76,7524487
Estadual,2016,PB,127865,114969,4717063,Paraíba,0.658,23.39,474.94,3744722
Estadual,2016,PE,297535,203501,8983213,Pernambuco,0.673,19.12,525.64,8744596
Estadual,2016,PI,80075,82979,3735716,Piauí,0.646,24.55,416.93,3102747
Estadual,2016,PR,427180,470172,15968685,Paraná,0.749,6.69,890.89,10379795
Estadual,2016,RJ,770741,486150,30268712,Rio de Janeiro,0.761,4.47,1039.3,15895915
Estadual,2016,RN,85035,102395,3773418,Rio Grande do Norte,0.684,19.74,545.42,3151549
Estadual,2016,RR,27117,21955,443090,Roraima,0.707,11.01,605.59,445981
Estadual,2016,RS,593832,505123,13431345,Rio Grande do Sul,0.746,4.75,959.24,10618321
Estadual,2016,SC,243345,286673,11512470,Santa Catarina,0.774,4.37,983.9,6211299
Estadual,2016,SE,119696,92048,1912724,Sergipe,0.665,19.72,523.53,2054725
Estadual,2016,SP,2197928,1833132,58349695,São Paulo,0.783,4.53,1084.46,40944103
Estadual,2016,TO,81491,71483,2032990,Tocantins,0.699,14.14,586.62,1373823
Estadual,2017,AC,29733,30727,558164,Acre,0.663,17.79,522.15,728620
Estadual,2017,AL,59846,52287,2311167,Alagoas,0.631,26.09,432.56,3092407
Estadual,2017,AM,101028,94794,3500215,Amazonas,0.674,10.47,539.8,3460784
Estadual,2017,AP,50130,36376,629777,Amapá,0.708,9.09,598.98,664167
Estadual,2017,BA,359425,365671,16956403,Bahia,0.66,17.73,496.73,13933018
Estadual,2017,CE,245897,256113,8618492,Ceará,0.682,20.14,460.63,8403301
Estadual,2017,DF,168587,160928,1919774,Distrito Federal,0.824,3.66,1715.11,2543802
Estadual,2017,ES,95984,64964,2744368,Espírito Santo,0.74,8.62,815.43,3492253
Estadual,2017,GO,264252,187084,8212877,Goiás,0.735,8.46,810.97,5962442
Estadual,2017,MA,126213,173034,7036375,Maranhão,0.639,22.51,360.34,6547083
Estadual,2017,MG,725248,625969,21267889,Minas Gerais,0.731,8.83,749.69,19471105
Estadual,2017,MS,126890,136301,4278848,Mato Grosso do Sul,0.729,8.21,799.34,2420666
Estadual,2017,MT,164256,156314,5247408,Mato Grosso,0.725,9.07,762.52,3008271
Estadual,2017,PA,199156,150135,6621078,Pará,0.646,12.58,446.76,7524487
Estadual,2017,PB,125519,109466,5056228,Paraíba,0.658,23.39,474.94,3744722
Estadual,2017,PE,287961,203289,9097113,Pernambuco,0.673,19.12,525.64,8744596
Estadual,2017,PI,72010,91373,3890236,Piauí,0.646,24.55,416.93,3102747
Estadual,2017,PR,434144,438923,14755090,Paraná,0.749,6.69,890.89,10379795
Estadual,2017,RJ,909577,496006,31477560,Rio de Janeiro,0.761,4.47,1039.3,15895915
Estadual,2017,RN,91319,128938,3448735,Rio Grande do Norte,0.684,19.74,545.42,3151549
Estadual,2017,RO,258,3644,1008,Rondônia,0.69,9.42,670.82,1547341
Estadual,2017,RR,26938,21055,417689,Roraima,0.707,11.01,605.59,445981
